,Username,Tweet id,Tweet,Language,Date,Location,Place,Coordinates
33,Kavinthan,1.40101E+18,"Images reportedly taken this morning showing flood level is continuously increasing in Gandiawalalwa area in Malwana, where people fear a calamity like in 2016. The lives of the people in several areas of Malwana have been affected due to heavy rain and flood. 

#SriLanka https://t.co/GE7Doc1caJ",en,5/6/2021 3:03,Colombo,,
34,sarangapathirana,1.40101E+18,Due to heavy rains furnace oil from the Sapugaskanda refinery has mixed with flood water and there is a risk of it spreading to the Kalani river. The Navy has launched a special operation to prevent the situation: #news #lka #sl,en,5/6/2021 2:46,COLOMBO - SRI LANKA,,
35,Ranga Sirilal,1.40088E+18,Due to heavy rains furnace oil from the Sapugaskanda refinery has mixed with flood water and there is a risk of it spreading to the Kalani river. The Navy has launched a special operation to prevent the situation: SL navy,en,4/6/2021 18:00,"Colombo, Sri Lanka",,
36,Manjula Basnayake,1.40087E+18,Due to heavy rains furnace oil from the Sapugaskanda refinery has mixed with flood water and there is a risk of it spreading to the Kalani river. The Navy has launched a special operation to prevent the situation: SL navy #Lka,en,4/6/2021 17:33,"Colombo, Sri Lanka",,
37,Manjula Basnayake,1.40082E+18,Gampaha Municipal Council Fire Brigade rescues flood victims in Gampaha Villabada Road area. #Lka https://t.co/c7UTWChoJN,en,4/6/2021 14:35,"Colombo, Sri Lanka",,
38,Sunil Jayasiri,1.4008E+18,"Flooded road in Kotugoda, Gampha this evening after heavy rain . Pics Pradeep Pathirana #SriLanka #lka #flood #rain https://t.co/r9jnonN9PO",en,4/6/2021 13:01,Colombo-Sri Lanka,,
39,Newsfirst.lk Sri Lanka,1.40079E+18,"Air Force releases aerial footage of flood-affected districts

#SriLanka #lka #News1st #Landslide #Weather #AirForce

https://t.co/SQyhpypHat",en,4/6/2021 12:15,"Colombo, Sri Lanka",,
40,Melaka Jude,1.40076E+18,"So May June used to be the best months back in school cause whenever it rained heavily like this, the entire ground and sidewalks used to flood with about 5 inches of water in some areas.
It got so bad one year that they closed school for 1 or 2 days.",en,4/6/2021 10:13,"Kelaniya, Sri Lanka",,
41,Newsfirst.lk Sri Lanka,1.40075E+18,"PM @PresRajapaksa instructs to provide immediate relief to flood-affected people

READ MORE: https://t.co/TLIw30E8o9

#SriLanka #lka #News1st #Weather https://t.co/ii814bp7Qj",en,4/6/2021 9:40,"Colombo, Sri Lanka",,
42,IWMI,1.40075E+18,"Discover how high-tech solutions are helping farmers in #SriLanka to increase their resilience to flooding and other natural disasters, and supporting them on the road to recovery - boosting local wealth and profitability. 

More info: https://t.co/tvkNIL35XO #ClimateAction https://t.co/iwrBRfrH8I",en,4/6/2021 9:36,"Colombo, Sri Lanka",,
